lambdaj	delta1	delta2	delta3
-1.732	-1.4	0.3	1.8
-1.02	-1.4	0.3	1.8
-2.1	-1.4	0.3	1.8
-2.535	-1.4	0.3	1.8
-1.258	-1.4	0.3	1.8
-1.172	-1.4	0.3	1.8
0.326	-1.4	0.3	1.8
-0.768	-1.4	0.3	1.8
-1.884	-1.4	0.3	1.8
-1.372	-1.4	0.3	1.8
-1.312	-1.4	0.3	1.8
-0.369	-1.4	0.3	1.8
0.597	-1.4	0.3	1.8
-1.488	-1.4	0.3	1.8
-1.28	-1.4	0.3	1.8
-0.736	-1.4	0.3	1.8
0.311	-1.4	0.3	1.8
-0.167	-1.4	0.3	1.8
0.505	-1.4	0.3	1.8
0.427	-1.4	0.3	1.8
1.812	-1.4	0.3	1.8
1.544	-1.4	0.3	1.8
1.081	-1.4	0.3	1.8
